name,line
A, How can I help you? This is Muthu Curry Restaurant.
B, I am looking for an Indian restaurant in the west end of Cambridge.
A, Of course there are 6 results for Indian restaurants in the west. what price range are you looking for?
B, What selection on the menu?
A, We have many popular Indian food on the menu.
B, I do not have a preference. So surprise me!
A, I recommend cocum as they are good.
B, Nice! I would like to make a reservation for 3 on Thursday at 11:30.
A, Booking was successful. The table will be reserved for 15 minutes. Reference number is FGM5WP19.
B, Can I also book a train please?
A, What time would you like the train to leave?
B, The train needs to leave from peterborough and arrive at cambridge by 08:30.
A, Is there a time you would like to leave by?
B, No. Just Thursday is the day I need it.
A, There are five trains leaving Peterborough and going to Cambridge on Thursday. The last one leaves at 7:19 and arrives at 8:09. Is this one you would like to book?
B, That is perfect. Though I do not want to book it just yet. Can you give me the travel time. price. and train ID please?
A, The train ID is TR7094. It takes 50 minutes to get from Peterborough to Cambridge. The price is 16.50 pounds. Is there anything else?
B, That is all I needed. thank you!
A, You are welcome. have a lovely day!
B, I am looking for a restaurant serving malaysian food.
A, There are no Malaysian restaurants in this area.
B, I am also looking for a restaurant serving asian oriental food.
A, I have found several restaurants serving Asian Oriental food. What area of town do you prefer?
B, I do not care.
A, Might I suggest the Dojo Noodle Bar. They are located in the centre of town and they are cheap. Would you like their phone number?
B, Yes. and their address too.
A, Dojo Noodle bar is located at 40210 Millers Yard City Centre and their phone number is 01223 363471. Is there anything else that I can help you with today?
B, What is the postcode?
A, The postcode for dojo noodle bar is CB17DY.
B, No. that will be all. Thank you and goodbye!
A, You are welcome. Good bye and have a great day!
B, I am looking for college attractions in the centre.
A, We have 13 colleges in the centre. and most have free entry. such as Christ's College.
B, Great. can you give me the phone number and postcode of Christ's college?
A, Of course. the phone number is 01223334900 and the post code is cb23bu.
B, Also want to find someplace to eat. Want to be in the cheap price range and in the same area of town.
A, How About Chinese?
B, I was thinking more on the lines of afghan food. Do you have any listings for that?
A, I am afraid I don't. Would you like to try a different area or cuisine?
B, Could you check for mediterranean please?
A, The Gardenia is a Mediterranean restaurant in the centre of town. would you like to make a reservation?
B, I will need it for three. at noon. on Thursday.
A, I am sorry. But the Gardenia does not have any openings for noon on Thursday for 3 people. Would you like for me check a different time for you?
B, How about at 11:00?
A, Booking was successful. The table will be reserved for 15 minutes. Reference number is RBZGP3RX. Is there anything else I can help you with?
B, Thank you. Good Bye.
A, You are welcome. Have a nice day!
A, Shogun Restaurant.
B, I would like to make a dinner reservation.
A, Of course! what evening will you be joining us on?
B, We will need the reservation for Tuesday night.
A, What time would you like the reservation for?
B, We would prefer 7:00 or 7:30.
A, How many people will you need the reservation for?
B, There will be 4 of us.
A, Fine. I can seat you at 7:00 on Tuesday. if you would kindly give me your name.
B, Thank you. The last name is Foster.
A, See you at 7:00 this Tuesday. Mr. Foster.
B, Thank you so much. I appreciate your help.
A, This is Shogun Restaurant.
B, Hello. I need to make a dinner reservation.
A, Can you tell me what night you will be coming?
B, We will be coming to your restaurant on Tuesday night.
A, What time will you be dining with us?
B, Our first choice would be 7:00. or perhaps 7:30.
A, How many guests will be in your party?
B, Four of us will be coming.
A, Please just give me your name. and at 7:00 on Tuesday we will have a table for you!
B, Great! Our last name is Foster.
A, Thank you. Mr. Foster. see you this Tuesday at 7:00.
B, I look forward to having dinner at your restaurant. Thank you for your help.
A, Shogun Restaurant of Pasadena.
B, Hi. could you help me? I need to make a dinner reservation.
A, I can help you if you can just tell me what evening you like the reservation for.
B, Tuesday night is when we need the reservation for.
A, What time do you think that you would like to have dinner?
B, 7:00 would be best. or maybe 7:30.
A, How many diners will be in your group?
B, We need a reservation for four.
A, I have a table for four available at 7:00. if you would just give me your name.
B, My last name is Foster. Thank you for the reservation.
A, Mr. Foster. we will be expecting you this Tuesday at 7:00.
B, We will be there! Thanks for the help!
